"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"68",2019,"colima",20,63,36,33,21,15,16,13,5,6,5,3,4,5,3,4
"69",2020,"colima",16,85,53,22,21,8,14,8,9,4,9,2,3,4,3,1
"70",2021,"colima",5,26,31,12,8,7,5,3,3,0,2,0,1,1,1,1
"71",2022,"colima",5,18,33,26,12,2,5,1,2,5,2,1,0,1,1,0
"72",2023,"colima",12,45,108,82,32,18,23,11,12,5,9,4,3,1,2,2
"73",2016,"distrito federal",1,0,1,3,0,5,4,2,0,0,4,0,1,2,1,0
"74",2017,"distrito federal",0,0,0,0,1,1,0,1,0,0,2,0,0,1,0,0
"75",2018,"distrito federal",0,1,2,1,0,2,0,1,4,1,1,2,0,0,2,2
"76",2019,"distrito federal",1,1,3,2,4,6,8,4,3,1,1,0,2,4,2,1
"77",2020,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2021,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2022,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2023,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",2016,"durango",1,0,4,3,2,2,3,1,2,3,1,1,2,1,1,1
"82",2017,"durango",0,2,7,8,12,4,2,9,8,4,3,1,1,3,0,0
"83",2018,"durango",3,3,3,0,0,1,1,0,0,0,0,0,0,0,0,1
"84",2019,"durango",1,1,2,0,0,2,3,0,0,4,0,1,0,0,0,1
"85",2020,"durango",1,3,3,1,2,2,2,0,0,1,0,1,0,0,0,2
"86",2021,"durango",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2022,"durango",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2023,"durango",0,3,5,4,2,0,3,0,0,1,1,2,0,1,0,0
"89",2016,"guanajuato",0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
"90",2017,"guanajuato",17,52,78,90,92,82,61,59,30,32,22,20,13,14,13,12
