"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"297",2016,"yucatan",12,14,9,25,22,15,11,8,7,6,7,5,6,8,8,8
"298",2017,"yucatan",8,11,8,10,22,15,5,0,4,3,3,2,2,1,0,0
"299",2018,"yucatan",4,4,5,5,2,3,4,1,0,0,2,2,0,0,0,0
"300",2019,"yucatan",33,127,157,119,105,58,37,18,17,11,14,3,3,2,4,3
"301",2020,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302",2021,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303",2022,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"304",2023,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"305",2016,"zacatecas",0,0,0,1,2,0,0,1,0,1,0,0,NA,0,0,1
"306",2017,"zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"307",2018,"zacatecas",0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0
"308",2019,"zacatecas",1,1,1,3,1,3,2,5,3,0,2,1,NA,2,1,3
"309",2020,"zacatecas",0,0,0,0,0,0,1,0,1,0,1,1,NA,0,0,0
"310",2021,"zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"311",2022,"zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"312",2023,"zacatecas",1,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0
