"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"292",2019,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",2020,"yucat'an",23,61,97,78,77,69,66,64,42,44,26,16,15,8,3,7
"294",2021,"yucat'an",7,3,3,4,8,15,11,10,7,6,8,7,1,1,0,0
"295",2022,"yucat'an",48,111,204,166,153,100,79,55,33,48,36,26,11,8,6,7
"296",2023,"yucat'an",2139,5145,7200,6076,5985,4342,3151,2459,2059,1855,1443,950,588,370,266,231
"297",2016,"yucatan",242,337,454,474,530,476,365,326,265,174,153,110,80,54,43,51
"298",2017,"yucatan",76,87,80,89,142,118,71,69,60,47,33,26,20,10,6,8
"299",2018,"yucatan",30,45,46,41,55,42,29,33,24,19,15,14,9,5,1,1
"300",2019,"yucatan",180,444,655,521,417,345,265,190,163,116,76,50,35,27,14,13
"301",2020,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302",2021,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303",2022,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"304",2023,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"305",2016,"zacatecas",7,12,25,22,17,23,24,19,10,20,7,3,11,4,3,5
"306",2017,"zacatecas",0,0,1,0,3,1,0,1,1,0,0,0,0,0,0,0
"307",2018,"zacatecas",0,1,0,1,2,1,2,2,1,2,0,0,0,1,0,0
"308",2019,"zacatecas",1,10,18,15,17,14,15,14,20,4,15,13,2,4,4,4
"309",2020,"zacatecas",0,1,2,0,3,1,11,1,7,1,7,1,1,1,1,0
"310",2021,"zacatecas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"311",2022,"zacatecas",0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0
"312",2023,"zacatecas",1,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0
