"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"69",2020,"colima",101,244,207,128,154,132,118,114,93,69,46,21,22,16,10,9
"70",2021,"colima",36,74,98,53,66,72,60,33,46,33,28,10,4,3,4,10
"71",2022,"colima",44,105,116,103,90,62,56,42,40,41,26,15,5,3,5,5
"72",2023,"colima",180,375,447,330,274,181,207,140,136,88,77,42,39,16,12,15
"73",2016,"distrito federal",3,4,2,7,4,29,27,10,12,15,17,8,14,3,4,0
"74",2017,"distrito federal",0,2,2,2,6,7,10,5,1,3,2,5,1,2,0,1
"75",2018,"distrito federal",1,1,4,2,1,9,8,10,5,3,6,5,2,2,2,2
"76",2019,"distrito federal",5,8,8,10,22,32,34,25,24,14,18,18,17,13,7,2
"77",2020,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2021,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2022,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2023,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",2016,"durango",19,74,182,217,221,216,174,192,190,156,106,82,45,30,24,24
"82",2017,"durango",4,26,62,83,93,96,78,81,78,64,41,27,19,19,5,5
"83",2018,"durango",3,3,4,1,1,6,3,0,4,1,2,0,1,0,0,1
"84",2019,"durango",2,1,8,7,5,11,14,11,7,15,8,6,1,0,0,1
"85",2020,"durango",3,8,25,17,21,21,15,13,10,14,10,11,10,4,2,6
"86",2021,"durango",0,0,1,0,1,4,0,1,0,3,1,0,1,0,0,0
"87",2022,"durango",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"88",2023,"durango",0,4,6,7,4,3,8,0,3,2,3,4,1,1,0,1
"89",2016,"guanajuato",0,2,6,4,7,4,9,8,5,9,3,2,2,0,1,2
"90",2017,"guanajuato",443,1089,1722,2185,2231,2078,1849,1619,1367,1234,905,659,451,293,176,186
"91",2018,"guanajuato",6,11,21,20,37,44,37,31,26,22,21,11,6,5,1,3
"92",2019,"guanajuato",49,96,157,222,247,266,247,163,151,137,81,66,42,25,16,18
"93",2020,"guanajuato",6,20,34,40,86,113,89,78,42,43,38,23,14,9,7,4
"94",2021,"guanajuato",1,2,3,6,3,7,8,3,4,6,3,2,2,2,0,1
"95",2022,"guanajuato",2,2,1,1,3,0,2,0,1,0,1,2,0,0,0,0
"96",2023,"guanajuato",54,132,209,202,301,324,334,249,227,179,155,98,63,41,29,28
"97",2016,"guerrero",361,757,1209,1185,942,811,613,523,447,326,283,263,160,117,90,103
"98",2017,"guerrero",86,124,178,162,130,121,118,94,72,65,49,30,38,28,16,35
"99",2018,"guerrero",92,169,161,124,122,91,93,90,65,81,40,35,27,21,12,33
"100",2019,"guerrero",563,1461,1675,1232,863,765,610,510,414,364,282,279,167,116,86,107
"101",2020,"guerrero",197,738,827,616,569,533,475,407,305,315,209,166,109,94,62,80
"102",2021,"guerrero",64,226,247,181,157,141,118,94,74,74,46,35,19,18,16,20
"103",2022,"guerrero",200,451,520,332,274,222,190,129,111,77,75,51,40,27,14,34
"104",2023,"guerrero",1054,2803,3801,2434,1572,1362,1140,955,764,696,556,449,316,234,162,196
"105",2016,"hidalgo",3,4,16,20,7,17,11,11,18,9,3,8,4,5,4,5
"106",2017,"hidalgo",16,26,73,61,49,56,47,43,22,17,31,12,4,10,1,10
"107",2018,"hidalgo",7,17,21,29,15,21,12,16,13,11,6,7,7,5,2,4
"108",2019,"hidalgo",63,153,286,255,162,176,164,155,138,119,91,73,68,50,33,39
"109",2020,"hidalgo",23,67,100,135,132,139,135,117,87,82,46,45,33,25,19,12
"110",2021,"hidalgo",0,1,1,5,5,8,3,6,4,0,1,1,0,4,0,0
