"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"302",2021,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303",2022,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"304",2023,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"305",2016,"zacatecas",7,12,25,21,15,23,24,18,10,19,7,3,11,4,3,4
"306",2017,"zacatecas",0,0,1,0,3,1,0,1,1,0,0,0,0,0,0,0
"307",2018,"zacatecas",0,1,0,1,2,1,1,2,1,2,0,0,0,1,0,0
"308",2019,"zacatecas",0,9,17,12,16,11,13,9,17,4,13,12,2,2,3,1
"309",2020,"zacatecas",0,1,2,0,3,1,10,1,6,1,6,0,1,1,1,0
"310",2021,"zacatecas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"311",2022,"zacatecas",0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0
"312",2023,"zacatecas",0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
