"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"69",2020,"colima",85,159,154,106,133,124,104,106,84,65,37,19,19,12,7,8
"70",2021,"colima",31,48,67,41,58,65,55,30,43,33,26,10,3,2,3,9
"71",2022,"colima",39,87,83,77,78,60,51,41,38,36,24,14,5,2,4,5
"72",2023,"colima",168,330,339,248,242,163,184,129,124,83,68,38,36,15,10,13
"73",2016,"distrito federal",2,4,1,4,4,24,23,8,12,15,13,8,13,1,3,0
"74",2017,"distrito federal",0,2,2,2,5,6,10,4,1,3,0,5,1,1,0,1
"75",2018,"distrito federal",1,0,2,1,1,7,8,9,1,2,5,3,2,2,0,0
"76",2019,"distrito federal",4,7,5,8,18,26,26,21,21,13,17,18,15,9,5,1
"77",2020,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2021,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2022,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2023,"distrito federal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",2016,"durango",18,74,178,214,219,214,171,191,188,153,105,81,43,29,23,23
"82",2017,"durango",4,24,55,75,81,92,76,72,70,60,38,26,18,16,5,5
"83",2018,"durango",0,0,1,1,1,5,2,0,4,1,2,0,1,0,0,0
"84",2019,"durango",1,0,6,7,5,9,11,11,7,11,8,5,1,0,0,0
"85",2020,"durango",2,5,22,16,19,19,13,13,10,13,10,10,10,4,2,4
"86",2021,"durango",0,0,0,0,1,4,0,1,0,3,1,0,1,0,0,0
"87",2022,"durango",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"88",2023,"durango",0,1,1,3,2,3,5,0,3,1,2,2,1,0,0,1
"89",2016,"guanajuato",0,2,6,4,7,4,9,7,3,9,3,2,2,0,0,2
"90",2017,"guanajuato",426,1037,1644,2095,2139,1996,1788,1560,1337,1202,883,639,438,279,163,174
"91",2018,"guanajuato",5,11,18,20,37,40,34,30,23,22,21,10,6,5,1,3
"92",2019,"guanajuato",46,90,153,216,232,263,238,156,150,128,79,63,42,23,16,17
"93",2020,"guanajuato",5,17,32,37,82,108,88,77,42,40,36,21,12,8,6,4
"94",2021,"guanajuato",1,2,3,6,3,6,7,3,4,5,3,2,2,0,0,1
"95",2022,"guanajuato",2,0,1,1,2,0,1,0,1,0,0,1,0,0,0,0
"96",2023,"guanajuato",47,102,179,170,284,305,309,237,216,161,147,92,56,34,25,24
"97",2016,"guerrero",296,638,1019,954,780,659,519,443,384,278,225,212,125,79,61,67
"98",2017,"guerrero",70,99,154,123,103,95,104,73,53,50,40,18,22,19,7,15
"99",2018,"guerrero",68,139,130,99,96,79,80,78,56,64,33,24,18,16,9,19
"100",2019,"guerrero",408,1005,1220,889,635,575,447,365,291,248,210,174,107,75,66,62
"101",2020,"guerrero",158,462,565,452,479,450,402,342,258,271,168,127,89,71,50,62
"102",2021,"guerrero",46,119,152,113,127,117,96,83,64,61,38,27,15,13,14,10
"103",2022,"guerrero",162,341,369,238,230,181,153,114,94,63,59,41,34,23,9,25
"104",2023,"guerrero",849,1971,2524,1605,1153,1056,880,763,621,543,454,352,247,165,121,130
"105",2016,"hidalgo",3,3,15,15,6,15,10,10,15,9,3,7,4,4,2,3
"106",2017,"hidalgo",12,25,65,54,44,53,44,36,19,13,27,10,4,10,1,10
"107",2018,"hidalgo",6,16,19,26,14,18,7,13,9,9,5,3,4,4,2,4
"108",2019,"hidalgo",57,138,273,239,153,166,145,143,117,113,80,64,56,44,28,36
"109",2020,"hidalgo",21,62,94,130,121,134,130,111,84,77,43,43,29,24,18,11
