"","serotype","ENTIDAD_RES","YEAR","prop_non_hosp","prop_hosp"
"109","DENV1","hidalgo",2020,0,0.25
"110","DENV1","hidalgo",2021,5.1922877219703e-05,0
"111","DENV1","hidalgo",2022,6.9230502959604e-05,6.9230502959604e-05
"112","DENV1","hidalgo",2023,0.00051922877219703,0.307692307692308
"113","DENV1","jalisco",2016,0.00247499048080584,1
"114","DENV1","jalisco",2017,0.00796150784035446,0.857142857142857
"115","DENV1","jalisco",2018,0.0233826023746063,0.545871559633027
"116","DENV1","jalisco",2019,0.0231056803627678,0.154520547945205
"117","DENV1","jalisco",2020,0.00154037869085119,0.0401234567901235
"118","DENV1","jalisco",2021,1.7307625739901e-05,0.0625
"119","DENV1","jalisco",2022,0.000121153380179307,0.0769230769230769
"120","DENV1","jalisco",2023,0.00477690470421268,0.306122448979592
"121","DENV1","m'exico",2016,0,0
"122","DENV1","m'exico",2017,0,0
"123","DENV1","m'exico",2018,0,0
"124","DENV1","m'exico",2019,0,0
"125","DENV1","m'exico",2020,0.00115961092457337,0.191489361702128
"126","DENV1","m'exico",2021,0.000899996538474852,0.266666666666667
"127","DENV1","m'exico",2022,0.00034615251479802,0.0804597701149425
"128","DENV1","m'exico",2023,8.6538128699505e-05,0.0434782608695652
"129","DENV1","mexico",2016,0.00477690470421268,1
"130","DENV1","mexico",2017,0.00645574440098307,1
"131","DENV1","mexico",2018,0.00145384056215168,0.9
"132","DENV1","mexico",2019,0.00051922877219703,0.27027027027027
"133","DENV1","mexico",2020,0,0
"134","DENV1","mexico",2021,0,0
"135","DENV1","mexico",2022,0,0
"136","DENV1","mexico",2023,0,0
"137","DENV1","michoac'an de ocampo",2016,0,0
"138","DENV1","michoac'an de ocampo",2017,0,0
"139","DENV1","michoac'an de ocampo",2018,0,0
"140","DENV1","michoac'an de ocampo",2019,0,0
"141","DENV1","michoac'an de ocampo",2020,0.0126172591643878,0.292682926829268
"142","DENV1","michoac'an de ocampo",2021,0.000501921146457129,0.0851063829787234
"143","DENV1","michoac'an de ocampo",2022,0.000830766035515248,0.0526315789473684
"144","DENV1","michoac'an de ocampo",2023,0.00330575651632109,0.229591836734694
"145","DENV1","michoacan",2016,0.00891342725604902,1
"146","DENV1","michoacan",2017,0.0035307556509398,0.941176470588235
